Provincia,Casos Sospechosos,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Distrito Nacional,0,1.02,0,colera,5,2018
Duarte,0,0.0,0,colera,5,2018
El Seibo,0,0.0,0,colera,5,2018
Elías Piña,0,0.0,0,colera,5,2018
Espaillat,0,0.0,0,colera,5,2018
Extranjera,0,0.0,0,colera,5,2018
Hato Mayor,0,0.0,0,colera,5,2018
Hermanas Mirabal,0,0.0,0,colera,5,2018
Independencia,0,0.0,0,colera,5,2018
La Altagracia,0,0.0,0,colera,5,2018
La Romana,0,0.0,0,colera,5,2018
La Vega,0,2.56,0,colera,5,2018
María Trinidad Sánchez,0,0.0,0,colera,5,2018
Monseñor Nouel,0,0.0,0,colera,5,2018
Monte Cristi,0,0.0,0,colera,5,2018
Monte Plata,0,0.0,0,colera,5,2018
Pedernales,0,0.0,0,colera,5,2018
Peravia,0,0.0,0,colera,5,2018
Puerto Plata,0,0.0,0,colera,5,2018
Samaná,0,0.0,0,colera,5,2018
San Cristóbal,0,0.0,0,colera,5,2018
San José de Ocoa,0,0.0,0,colera,5,2018
San Juan,0,0.0,0,colera,5,2018
San Pedro de Macorís,0,0.0,0,colera,5,2018
Santiago,0,0.0,0,colera,5,2018
Santiago Rodríguez,0,0.0,0,colera,5,2018
Santo Domingo,0,0.0,0,colera,5,2018
Sánchez Ramírez,0,0.0,0,colera,5,2018
Valverde,0,0.0,0,colera,5,2018
Azua,0,3.93,0,colera,6,2018
Baoruco,0,0.0,0,colera,6,2018
Barahona,0,0.0,0,colera,6,2018
Dajabón,0,0.0,0,colera,6,2018
Distrito Nacional,0,0.85,0,colera,6,2018
Duarte,0,0.0,0,colera,6,2018
El Seibo,0,0.0,0,colera,6,2018
Elías Piña,0,0.0,0,colera,6,2018
Espaillat,0,0.0,0,colera,6,2018
Extranjera,0,0.0,0,colera,6,2018
Hato Mayor,0,0.0,0,colera,6,2018
Hermanas Mirabal,0,0.0,0,colera,6,2018
Independencia,0,0.0,0,colera,6,2018
La Altagracia,0,0.0,0,colera,6,2018
La Romana,0,0.0,0,colera,6,2018
La Vega,0,2.13,0,colera,6,2018
María Trinidad Sánchez,0,0.0,0,colera,6,2018
Monseñor Nouel,0,0.0,0,colera,6,2018
Monte Cristi,0,0.0,0,colera,6,2018
Monte Plata,0,0.0,0,colera,6,2018
Pedernales,0,0.0,0,colera,6,2018
Peravia,0,0.0,0,colera,6,2018
Puerto Plata,0,0.0,0,colera,6,2018
Samaná,0,0.0,0,colera,6,2018
San Cristóbal,0,0.0,0,colera,6,2018
San José de Ocoa,0,0.0,0,colera,6,2018
San Juan,0,0.0,0,colera,6,2018
San Pedro de Macorís,0,0.0,0,colera,6,2018
Santiago,0,0.0,0,colera,6,2018
Santiago Rodríguez,0,0.0,0,colera,6,2018
Santo Domingo,0,0.0,0,colera,6,2018
Sánchez Ramírez,0,0.0,0,colera,6,2018
Valverde,0,0.0,0,colera,6,2018
Azua,0,3.37,0,colera,7,2018
Baoruco,0,0.0,0,colera,7,2018
Barahona,0,0.0,0,colera,7,2018
Dajabón,0,0.0,0,colera,7,2018
Distrito Nacional,0,0.73,0,colera,7,2018
Duarte,0,0.0,0,colera,7,2018
El Seibo,0,0.0,0,colera,7,2018
Elías Piña,0,0.0,0,colera,7,2018
